Gene_ID	COG_category	GOs	KEGG_ko	PFAMs	InterPro_Acc	NR_Hit_ID	NR_Description	SwissProt_Hit_ID	SwissProt_Description
misc_2434	S	-	-	Beta_helix,CHU_C,PKD,fn3	-,IPR026341	MBK9106738.1	MBK9106738.1 gliding motility-associated C-terminal domain-containing protein [Candidatus Opimibacter iunctus]	-	-
misc_2435	M	-	-	PMT,TPR_16,TPR_19,TPR_8	IPR050297,IPR038731	MGB1243059.1	MGB1243059.1 hypothetical protein [Chitinophagales bacterium]	-	-
misc_2436	S	-	-	DUF1761	IPR013879	RMG85407.1	RMG85407.1 MAG: DUF1761 domain-containing protein [Bacteroidota bacterium]	-	-
misc_2437	S	-	-	SAM_adeno_trans	IPR023228,IPR002747,IPR046469,IPR046470,IPR023227	MFK7935658.1	MFK7935658.1 S-adenosyl-l-methionine hydroxide adenosyltransferase family protein [Saprospiraceae bacterium]	sp|Q59045|RSAMH_METJA	sp|Q59045|RSAMH_METJA (R)-S-adenosyl-L-methionine hydrolase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1651 PE=1 SV=1
misc_2438	I	-	ko:K17103	CDP-OH_P_transf	IPR050324,IPR043130,IPR000462,IPR048254	MBS1613339.1	MBS1613339.1 CDP-alcohol phosphatidyltransferase family protein [Bacteroidota bacterium]	sp|P59949|PSS_MYCBO	sp|P59949|PSS_MYCBO CDP-diacylglycerol--serine O-phosphatidyltransferase OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=pssA PE=3 SV=1
misc_2439	-	-	-	-	-	NNK73205.1	NNK73205.1 hypothetical protein [Flavobacteriaceae bacterium]	-	-
misc_2440	S	-	ko:K11720	YjgP_YjgQ	IPR005495	MCP3931466.1	MCP3931466.1 YjgP/YjgQ family permease [Bacteroidota bacterium]	-	-
misc_2441	S	-	-	CHU_C,PKD,SprB	IPR026341,-,IPR003961,IPR013783	MCP3929638.1	MCP3929638.1 gliding motility-associated C-terminal domain-containing protein [Bacteroidota bacterium]	-	-
misc_2442	J	-	ko:K00773	TGT	IPR050076,IPR002616,IPR004803,IPR036511	MCL4144532.1	MCL4144532.1 hypothetical protein [Idotea baltica]	sp|B8I6M0|TGT_RUMCH	sp|B8I6M0|TGT_RUMCH Queuine tRNA-ribosyltransferase OS=Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) OX=394503 GN=tgt PE=3 SV=1
misc_2443	L	-	ko:K00567,ko:K07443	DNA_binding_1	IPR052520,IPR014048,IPR036388,IPR036217	NNK73204.1	NNK73204.1 MGMT family protein [Flavobacteriaceae bacterium]	-	-
misc_2444	H	GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360	-	Q_salvage	IPR019438	XP_071513113.1	XP_071513113.1 queuosine 5'-phosphate N-glycosylase/hydrolase-like [Panulirus ornatus]	sp|Q5T6V5|QNG1_HUMAN	sp|Q5T6V5|QNG1_HUMAN Queuosine 5'-phosphate N-glycosylase/hydrolase OS=Homo sapiens OX=9606 GN=QNG1 PE=1 SV=1
misc_2447	I	GO:0000003,GO:0002376,GO:0003006,GO:0003674,GO:0003824,GO:0004620,GO:0004630,GO:0005488,GO:0005543,GO:0005546,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0005911,GO:0006629,GO:0006643,GO:0006950,GO:0006952,GO:0006955,GO:0006979,GO:0007275,GO:0008081,GO:0008150,GO:0008152,GO:0008289,GO:0009506,GO:0009507,GO:0009536,GO:0009605,GO:0009607,GO:0009617,GO:0009790,GO:0009791,GO:0009793,GO:0009814,GO:0009816,GO:0009987,GO:0010035,GO:0010038,GO:0010044,GO:0010154,GO:0016020,GO:0016298,GO:0016787,GO:0016788,GO:0022414,GO:0022626,GO:0030054,GO:0032501,GO:0032502,GO:0032991,GO:0035091,GO:0042221,GO:0042578,GO:0042742,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044237,GO:0044238,GO:0044255,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0045087,GO:0046686,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050896,GO:0051704,GO:0051707,GO:0055044,GO:0061458,GO:0071704,GO:0071944,GO:0098542,GO:1901981,GO:1902936,GO:1990904	ko:K01115	C2,PLD_C,PLDc	IPR035892,IPR000008,IPR015679,IPR024632,IPR001736,-	XP_071513505.1	XP_071513505.1 uncharacterized protein [Panulirus ornatus]	sp|Q9T053|PLDG1_ARATH	sp|Q9T053|PLDG1_ARATH Phospholipase D gamma 1 OS=Arabidopsis thaliana OX=3702 GN=PLDGAMMA1 PE=1 SV=1
misc_2451	G	-	-	MFS_1	IPR004752,IPR036259,-,IPR011701	GJM23318.1	GJM23318.1 MAG: MFS transporter [Planctomycetota bacterium]	sp|Q8YQ15|SCHE_NOSS1	sp|Q8YQ15|SCHE_NOSS1 Schizokinen exporter SchE OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690 GN=schE PE=2 SV=1
misc_2452	S	-	ko:K06911	Pirin,Pirin_C	IPR003829,IPR011051,IPR008778,-,IPR012093,IPR014710	MGE3174536.1	MGE3174536.1 pirin family protein [Planctomycetota bacterium]	sp|P58114|Y3178_CAUVC	sp|P58114|Y3178_CAUVC Pirin-like protein CC_3178 OS=Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15) OX=190650 GN=CC_3178 PE=3 SV=1
misc_2453	-	-	-	-	-	-	-	-	-
misc_2454	-	-	-	-	-	-	-	-	-
misc_2455	-	-	-	-	-	XP_071541507.1	XP_071541507.1 proton-coupled folate transporter-like [Panulirus ornatus]	-	-
misc_2456	S	-	-	I-set,Ig_3	IPR013783,-,IPR036179,IPR007110	XP_064109741.1	XP_064109741.1 immunoglobulin domain-containing protein oig-4-like isoform X2 [Macrobrachium nipponense]	-	-
misc_2457	G	GO:0003674,GO:0003824,GO:0004771,GO:0004806,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0005811,GO:0005829,GO:0006066,GO:0006082,GO:0006139,GO:0006163,GO:0006464,GO:0006486,GO:0006629,GO:0006631,GO:0006637,GO:0006638,GO:0006639,GO:0006690,GO:0006692,GO:0006693,GO:0006694,GO:0006695,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006805,GO:0006807,GO:0006810,GO:0006869,GO:0008150,GO:0008152,GO:0008202,GO:0008203,GO:0008610,GO:0009056,GO:0009058,GO:0009059,GO:0009062,GO:0009100,GO:0009101,GO:0009117,GO:0009150,GO:0009259,GO:0009410,GO:0009636,GO:0009888,GO:0009987,GO:0010468,GO:0010876,GO:0010984,GO:0012505,GO:0015850,GO:0015918,GO:0016042,GO:0016043,GO:0016054,GO:0016125,GO:0016126,GO:0016192,GO:0016289,GO:0016290,GO:0016298,GO:0016482,GO:0016787,GO:0016788,GO:0016790,GO:0019216,GO:0019222,GO:0019538,GO:0019626,GO:0019637,GO:0019693,GO:0019752,GO:0022607,GO:0030154,GO:0030301,GO:0030855,GO:0031323,GO:0031974,GO:0032365,GO:0032366,GO:0032367,GO:0032501,GO:0032502,GO:0032787,GO:0033036,GO:0033559,GO:0033865,GO:0033875,GO:0034032,GO:0034377,GO:0034378,GO:0034379,GO:0034641,GO:0034645,GO:0035383,GO:0036211,GO:0042221,GO:0043062,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043413,GO:0043436,GO:0043603,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044282,GO:0044283,GO:0044421,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046165,GO:0046395,GO:0046459,GO:0046461,GO:0046464,GO:0046483,GO:0046486,GO:0046503,GO:0046907,GO:0047617,GO:0047619,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051186,GO:0051234,GO:0051239,GO:0051641,GO:0051649,GO:0051716,GO:0051791,GO:0052689,GO:0055086,GO:0060255,GO:0060429,GO:0065003,GO:0065005,GO:0065007,GO:0070013,GO:0070085,GO:0070887,GO:0071466,GO:0071702,GO:0071704,GO:0071825,GO:0071827,GO:0071840,GO:0072329,GO:0072521,GO:0080090,GO:0090119,GO:0090122,GO:0090207,GO:0090320,GO:0097006,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901568,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1902652,GO:1902653	ko:K01044,ko:K01049,ko:K03927,ko:K15743	COesterase	IPR002018,IPR029058,-	XP_045595878.2	XP_045595878.2 juvenile hormone esterase isoform X3 [Procambarus clarkii]	sp|Q8N0W4|NLGNX_HUMAN	sp|Q8N0W4|NLGNX_HUMAN Neuroligin-4, X-linked OS=Homo sapiens OX=9606 GN=NLGN4X PE=1 SV=1
misc_2458	S	-	-	CBS	-,IPR000644,IPR051257,IPR046342	MBM4268863.1	MBM4268863.1 CBS domain-containing protein [Deltaproteobacteria bacterium]	sp|Q58332|Y922_METJA	sp|Q58332|Y922_METJA Uncharacterized protein MJ0922 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0922 PE=1 SV=1
misc_2459	S	-	ko:K01470	Creatininase	IPR024087,IPR003785	MDG2148712.1	MDG2148712.1 creatininase family protein [Planctomycetota bacterium]	sp|P9WP58|MFTE_MYCTO	sp|P9WP58|MFTE_MYCTO Mycofactocin precursor peptide peptidase OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=mftE PE=3 SV=1
misc_2460	C	GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0006091,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016020,GO:0016310,GO:0016491,GO:0016651,GO:0017144,GO:0019637,GO:0019693,GO:0019866,GO:0022900,GO:0022904,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0034641,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045271,GO:0045333,GO:0046034,GO:0046483,GO:0055086,GO:0055114,GO:0070469,GO:0071704,GO:0072521,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901564,GO:1902494,GO:1990204	ko:K03938	Ndufs5	IPR019342,-,IPR009069	XP_071512913.1	XP_071512913.1 uncharacterized protein ND-15 [Panulirus ornatus]	-	-
misc_2464	Q	-	ko:K00079	adh_short	-,IPR036291	XP_069191082.1	XP_069191082.1 carbonyl reductase [NADPH] 1 isoform X2 [Procambarus clarkii]	sp|P47727|CBR1_RAT	sp|P47727|CBR1_RAT Carbonyl reductase [NADPH] 1 OS=Rattus norvegicus OX=10116 GN=Cbr1 PE=1 SV=2
misc_2465	K	-	-	PadR	IPR036388,IPR036390,IPR052509,-,IPR005149	MDF1598107.1	MDF1598107.1 helix-turn-helix transcriptional regulator [Acidimicrobiia bacterium]	-	-
misc_2466	-	-	-	-	-	-	-	-	-
misc_2467	L	-	ko:K07465	PDDEXK_1	IPR038726,IPR011604,IPR011335	MDH3754967.1	MDH3754967.1 PD-(D/E)XK nuclease family protein [Acidimicrobiia bacterium]	-	-
misc_2468	-	-	-	-	-	-	-	-	-
misc_2469	-	-	-	-	-	-	-	-	-
misc_2470	S	-	-	Chitin_bind_4	IPR000618,-,IPR051217	XP_071550509.1	XP_071550509.1 uncharacterized protein [Panulirus ornatus]	-	-
misc_2471	IU	-	ko:K11089	TROVE,VWA_2	-,IPR002035,IPR036465	MEQ9498961.1	MEQ9498961.1 VWA domain-containing protein [Deltaproteobacteria bacterium]	-	-
misc_2472	DZ	-	-	TSP_3	IPR017897,IPR003367,-,IPR028974	MEQ8275211.1	MEQ8275211.1 thrombospondin type 3 repeat-containing protein [Deltaproteobacteria bacterium]	-	-
misc_2473	S	-	-	-	IPR053180,-,IPR002035,IPR036465	MEQ9498960.1	MEQ9498960.1 VWA domain-containing protein [Deltaproteobacteria bacterium]	-	-
misc_2474	-	-	-	-	-	MEZ4932470.1	MEZ4932470.1 hypothetical protein [Saprospiraceae bacterium]	-	-
misc_2475	S	-	-	NYN	-,IPR021139,IPR047140	HHM21705.1	HHM21705.1 NYN domain-containing protein [Bacteroidota bacterium]	-	-
misc_2476	I	-	-	PorP_SprF	-	MEZ4935051.1	MEZ4935051.1 type IX secretion system protein PorQ [Saprospiraceae bacterium]	-	-
misc_2477	H	-	ko:K11754	Mur_ligase_M	IPR004101,IPR036565,IPR001645,IPR013221,IPR018109,IPR036615,-	MEZ4955787.1	MEZ4955787.1 folylpolyglutamate synthase/dihydrofolate synthase family protein [Saprospiraceae bacterium]	sp|D4GW05|FOLCP_HALVD	sp|D4GW05|FOLCP_HALVD Probable bifunctional folylpolyglutamate synthase/dihydropteroate synthase OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=folCP PE=3 SV=1
misc_2478	K	-	-	AraC_binding,HTH_18	IPR003313,IPR009057,IPR020449,IPR037923,IPR018062,IPR018060,-	MEO1263272.1	MEO1263272.1 helix-turn-helix transcriptional regulator [Bacteroidota bacterium]	-	-
misc_2479	O	-	ko:K21420	ATE_C	IPR007472,IPR016181	MEO1263273.1	MEO1263273.1 arginine-tRNA-protein transferase [Bacteroidota bacterium]	-	-
misc_2480	S	-	-	SprB,UnbV_ASPIC,VCBS	IPR013783,IPR013784,IPR047589,IPR026444,IPR055353,-	MEZ4956101.1	MEZ4956101.1 T9SS type A sorting domain-containing protein [Saprospiraceae bacterium]	-	-
misc_2481	I	-	ko:K01715	ECH_1	IPR001753,IPR014748,IPR029045,IPR018376,-	MEO1258374.1	MEO1258374.1 enoyl-CoA hydratase-related protein [Bacteroidota bacterium]	sp|P52046|CRT_CLOAB	sp|P52046|CRT_CLOAB Short-chain-enoyl-CoA hydratase OS=Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W) OX=272562 GN=crt PE=1 SV=1
misc_2482	-	-	-	-	-	MBK8568000.1	MBK8568000.1 hypothetical protein [Saprospiraceae bacterium]	-	-
misc_2483	S	-	-	MORN_2	-,IPR011652	MEO1258377.1	MEO1258377.1 toxin-antitoxin system YwqK family antitoxin [Bacteroidota bacterium]	-	-
misc_2484	M	-	-	CMAS,Methyltransf_11	IPR013216,-,IPR050447,IPR029063	MEZ4954737.1	MEZ4954737.1 methyltransferase domain-containing protein [Saprospiraceae bacterium]	sp|P74388|BQMT_SYNY3	sp|P74388|BQMT_SYNY3 2-methyl-6-phytyl-1,4-hydroquinone methyltransferase OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=sll0418 PE=1 SV=1
misc_2485	L	-	-	HD	IPR043760	MBX2877098.1	MBX2877098.1 hypothetical protein [Saprospiraceae bacterium]	-	-
misc_2486	-	-	-	-	-	MEO1263274.1	MEO1263274.1 hypothetical protein [Bacteroidota bacterium]	-	-
misc_2487	L	-	-	Transposase_mut	IPR001207	MGB0428762.1	MGB0428762.1 IS256 family transposase [Flavobacteriales bacterium]	sp|P80011|TRA3_RHIME	sp|P80011|TRA3_RHIME Transposase for insertion sequence element ISRM3 OS=Rhizobium meliloti (strain 1021) OX=266834 GN=R00164 PE=3 SV=1
misc_2488	-	-	-	-	-	MEZ4952592.1	MEZ4952592.1 hypothetical protein [Saprospiraceae bacterium]	-	-
misc_2489	-	-	-	-	-	-	-	-	-
misc_2490	U	GO:0002791,GO:0002793,GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0006810,GO:0006996,GO:0007275,GO:0007444,GO:0008150,GO:0008289,GO:0009888,GO:0009987,GO:0010646,GO:0010647,GO:0012505,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016197,GO:0019898,GO:0023051,GO:0023056,GO:0030904,GO:0031410,GO:0031647,GO:0031982,GO:0032266,GO:0032456,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0032991,GO:0035091,GO:0035220,GO:0035295,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046907,GO:0048513,GO:0048518,GO:0048522,GO:0048731,GO:0048856,GO:0050708,GO:0050714,GO:0050789,GO:0050794,GO:0050821,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051641,GO:0051649,GO:0060429,GO:0061356,GO:0061357,GO:0065007,GO:0065008,GO:0070201,GO:0071840,GO:0090087,GO:0097708,GO:0098796,GO:1901981,GO:1903530,GO:1903532,GO:1904951	ko:K17918	PX	IPR001683,IPR051074,-,IPR036871	XP_053644392.1	XP_053644392.1 sorting nexin-12 isoform X2 [Cherax quadricarinatus]	sp|Q9UMY4|SNX12_HUMAN	sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4
misc_2493	U	GO:0002791,GO:0002793,GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0006810,GO:0006996,GO:0007275,GO:0007444,GO:0008150,GO:0008289,GO:0009888,GO:0009987,GO:0010646,GO:0010647,GO:0012505,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016197,GO:0019898,GO:0023051,GO:0023056,GO:0030904,GO:0031410,GO:0031647,GO:0031982,GO:0032266,GO:0032456,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0032991,GO:0035091,GO:0035220,GO:0035295,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046907,GO:0048513,GO:0048518,GO:0048522,GO:0048731,GO:0048856,GO:0050708,GO:0050714,GO:0050789,GO:0050794,GO:0050821,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051641,GO:0051649,GO:0060429,GO:0061356,GO:0061357,GO:0065007,GO:0065008,GO:0070201,GO:0071840,GO:0090087,GO:0097708,GO:0098796,GO:1901981,GO:1903530,GO:1903532,GO:1904951	ko:K17918	PX	IPR001683,IPR051074,-,IPR036871	XP_042230704.1	XP_042230704.1 sorting nexin-12-like [Homarus americanus]	sp|Q9UMY4|SNX12_HUMAN	sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4
misc_2496	U	GO:0002791,GO:0002793,GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0006810,GO:0006996,GO:0007275,GO:0007444,GO:0008150,GO:0008289,GO:0009888,GO:0009987,GO:0010646,GO:0010647,GO:0012505,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016197,GO:0019898,GO:0023051,GO:0023056,GO:0030904,GO:0031410,GO:0031647,GO:0031982,GO:0032266,GO:0032456,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0032991,GO:0035091,GO:0035220,GO:0035295,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046907,GO:0048513,GO:0048518,GO:0048522,GO:0048731,GO:0048856,GO:0050708,GO:0050714,GO:0050789,GO:0050794,GO:0050821,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051641,GO:0051649,GO:0060429,GO:0061356,GO:0061357,GO:0065007,GO:0065008,GO:0070201,GO:0071840,GO:0090087,GO:0097708,GO:0098796,GO:1901981,GO:1903530,GO:1903532,GO:1904951	ko:K17918	PX	IPR001683,IPR051074,-,IPR036871	XP_053644392.1	XP_053644392.1 sorting nexin-12 isoform X2 [Cherax quadricarinatus]	sp|Q9UMY4|SNX12_HUMAN	sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4
misc_2499	U	GO:0002791,GO:0002793,GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0006810,GO:0006996,GO:0007275,GO:0007444,GO:0008150,GO:0008289,GO:0009888,GO:0009987,GO:0010646,GO:0010647,GO:0012505,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016197,GO:0019898,GO:0023051,GO:0023056,GO:0030904,GO:0031410,GO:0031647,GO:0031982,GO:0032266,GO:0032456,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0032991,GO:0035091,GO:0035220,GO:0035295,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046907,GO:0048513,GO:0048518,GO:0048522,GO:0048731,GO:0048856,GO:0050708,GO:0050714,GO:0050789,GO:0050794,GO:0050821,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051641,GO:0051649,GO:0060429,GO:0061356,GO:0061357,GO:0065007,GO:0065008,GO:0070201,GO:0071840,GO:0090087,GO:0097708,GO:0098796,GO:1901981,GO:1903530,GO:1903532,GO:1904951	ko:K17918	PX	IPR001683,IPR051074,-,IPR036871	XP_042230704.1	XP_042230704.1 sorting nexin-12-like [Homarus americanus]	sp|Q9UMY4|SNX12_HUMAN	sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4
misc_2502	-	-	-	-	-	-	-	-	-
misc_2503	U	-	ko:K05313	Lig_chan,Lig_chan-Glu_bd	-	XP_071527024.1	XP_071527024.1 ionotropic receptor 93a-like [Panulirus ornatus]	-	-
